# P t0 rp_rs a_rs b
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.098878476093300804e+00 4.496897838858497209e+01 1.154040654813584879e-02 1.148210637066809170e+01 3.878878560466709757e-01
9.101450607703197804e+00 4.497570071851823315e+01 9.106054524872831540e-03 1.150038250083167135e+01 4.359376156260387214e-01
9.101450607703197804e+00 4.497570071851823315e+01 9.106054524872831540e-03 1.150038250083167135e+01 4.359376156260387214e-01
9.101450607703197804e+00 4.497570071851823315e+01 9.106054524872831540e-03 1.150038250083167135e+01 4.359376156260387214e-01
9.101450607703197804e+00 4.497570071851823315e+01 9.106054524872831540e-03 1.150038250083167135e+01 4.359376156260387214e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
